verse_text,labels
"I walked through the door with you, the air was cold",2
But somethin' 'bout it felt like home somehow,1
And I left my scarf there at your sister's house,2
"And you've still got it in your drawer, even now",2
"Oh, your sweet disposition and my wide-eyed gaze",1
"We're singin' in the car, getting lost upstate",1
Autumn leaves fallin' down like pieces into place,2
And I can picture it after all these days,2
And I know it's long gone and,3
That magic's not here no more,0
"And I might be okay, but I'm not fine at all",0
"Oh, oh, oh",2
Causе there we arе again on that little town street,2
You almost ran the red 'cause you were lookin' over at me,2
"Wind in my hair, I was there",2
I remember it all too well,2
Photo album on the counter,2
Your cheeks were turnin' red,2
You used to be a little kid with glasses in a twin-sized bed,1
And your mother's tellin' stories 'bout you on the tee-ball team,1
You taught me 'bout your past thinkin' your future was me,1
And you were tossing me the car keys,2
Fuck The Patriarchy keychain on the ground,1
We were always skippin' town,1
And I was thinkin' on the drive down: Any time now,2
He's gonna say it's love,1
You never called it what it was,0
Til we were dead and gone and buried,0
"Check the pulse and come back swearing, it's the same",0
After three months in the grave,0
And then you wondered where it went to as I reached for you,0
But all I felt was shame,0
And you held my lifeless frame,0
And I know it's long gone and,3
There was nothing else I could do,0
And I forget about you long enough,0
To forget why I needed to,2
Cause there we are again in the middle of the night,2
We're dancin' 'round the kitchen in the refrigerator light,1
"Down the stairs, I was there",2
I remember it all too well,2
And there we are again when nobody had to know,3
"You kept me like a secret, but I kept you like an oath",3
Sacred prayer and we'd swear,2
"To remember it all too well, yeah",3
"Well, maybe we got lost in translation",0
Maybe I asked for too much,0
But maybe this thing was a masterpiece 'til you tore it all up,3
"Runnin' scared, I was there",0
I remember it all too well,3
And you call me up again just to break me like a promise,0
So casually cruel in the name of bein' honest,0
I'm a crumpled-up piece of paper lyin' here,0
"Cause I remember it all, all, all",2
They say all's well that ends well,1
But I'm in a new hell every time,0
You double-cross my mind,2
You said if we had been closer in age,2
Maybe it would've been fine,3
And that made me want to die,2
"The idea you had of me, who was she?",3
"A never-needy, ever-lovely jewel",0
Whose shine reflects on you,1
Not weepin' in a party bathroom,1
Some actress askin' me what happened: You,2
That's what happened: You,2
You who charmed my dad with self-effacing jokes,1
Sippin' coffee like you're on a late-night show,2
But then he watched me watch the front door all night,2
Willin' you to come,3
And he said: It's supposed to be fun,3
Turning 21,2
"Time won't fly, it's like I'm paralyzed by it",0
I'd like to be my old self again,3
But I'm still tryin' to find it,3
After plaid shirt days and nights when you made me your own,2
Now you mail back my things and I walk home alone,0
But you keep my old scarf from that very first week,2
Cause it reminds you of innocence and it smells like me,1
You can't get rid of it,3
"Cause you remember it all too well, yeah",2
Cause there we are again when I loved you so,1
Back before you lost the one real thing you've ever known,0
"It was rare, I was there",3
I remember it all too well,2
"Wind in my hair, you were there",2
You remember it all,2
"Down the stairs, you were there",2
You remember it all,2
"It was rare, I was there",3
I remember it all too well,2
"And I was never good at tellin' jokes, but the punch line goes",0
"I'll get older, but your lovers stay my age",3
From when your Brooklyn broke my skin and bones,0
I'm a soldier who's returning half her weight,0
And did the twin flame bruise paint you blue?,3
"Just between us, did the love affair maim you too?",0
Cause in this city's barren cold,0
I still remember the first fall of snow,2
And how it glistened as it fell,2
I remember it all too well,2
"Just between us, did the love affair maim you all too well?",0
"Just between us, do you remember it all too well?",2
